Mixture	Neu	Oli	Ast	Mic	End	P-value	Correlation	RMSE
X255_120426_3	0.493440154058283	0.181767857214418	0.218446299151485	0.103872793568498	0.00247289600731532	0	0.644056732976492	0.763747725495478
X515_120515_3	0.655781744346507	0.0856655385753423	0.147670739644425	0.0309015194791192	0.0799804579546071	0	0.560518738879639	0.825658201285793
X414_120503_3	0.476342101616366	0.155890529647907	0.205644700390825	0.0949273444539697	0.0671953238909315	0	0.640716500176818	0.767548278091459
X708_120531_3	0.457884104775779	0.13240008736341	0.179691090342243	0.190687416853881	0.0393373006646875	0	0.615084147572464	0.787079556370091
X321_120501_3	0.479517813294386	0.111678163216264	0.189038785316111	0.175223322598845	0.0445419155743943	0	0.633327855392123	0.772920988638728
X402_120503_3	0.432134066322875	0.296590557245787	0.174803821537605	0.069400683837341	0.0270708710563917	0	0.653362278168725	0.763169192941031
X292_120430_3	0.286562024915344	0.344280985025522	0.242155325149208	0.0604456962265669	0.0665559686833591	0	0.702901022712565	0.716788119807249
X389_120503_3	0.514893585121108	0.135832602949172	0.144559566181777	0.149862582536846	0.054851663211097	0	0.521703282959191	0.850514984592191
X674_120530_3	0.258820552760555	0.149013975655378	0.352042666261909	0.182043985278944	0.0580788200432141	0	0.816908131093745	0.578876231913063
X279_120430_3	0.389556764018319	0.143552566490064	0.193919296258875	0.203345523254347	0.0696258499783953	0	0.668220155604581	0.746866070234341
X487_120515_3	0.592217640597934	0.0397812189403741	0.166241939360132	0.191592881498963	0.0101663196025971	0	0.604139301380194	0.794573310473172
X193_120424_3	0.52642312342936	0.184808994832058	0.11015903611218	0.159392487288209	0.0192163583381926	0	0.498270294529069	0.864298128663644
X153_120423_3	0.441227986225107	0.16589005036881	0.223393753414552	0.169488209991531	0	0	0.719625666997085	0.698096729975368
X75_120417_3	0.421029825422661	0.134310002151381	0.259005157261255	0.180145452019265	0.00550956314543873	0	0.642772161502772	0.766238247923196
X413_120503_3	0.393424400084003	0.180262706260234	0.140850481655948	0.197815261544679	0.087647150455136	0	0.579715492017037	0.8157294814775
X35_120416_3	0.426802640187831	0.0821474316909795	0.198281510725192	0.2672083818532	0.0255600355427964	0	0.725780955243387	0.693531975812282
X675_120604_3	0.351442790571586	0.27797303917384	0.273054598024499	0.0621817459820143	0.0353478262480604	0	0.689760052309683	0.723986052029304
X538_120516_4	0.220097620295297	0.217013410255348	0.299372377660295	0.263516591789061	0	0	0.637105745302368	0.777770211848754
X07_120410_4	0.574779052203978	0.0831765557903485	0.185095382869555	0.14520542634313	0.0117435827929884	0	0.597489608483582	0.799813424593776
X478_120514_4	0.215830889967512	0.137119092809074	0.339142447474611	0.307907569748802	0	0	0.796781787971243	0.606181958457452
X523_120515_4	0.303500672204659	0.29218503907576	0.354111359314972	0.0141744378242741	0.0360284915803348	0	0.688201663496855	0.732475141904871
X571_120521_4	0.340162001053598	0.255337905239038	0.27163742398067	0.0436139581771757	0.0892487115495174	0	0.787881447540684	0.631292867110161
X57_120417_4	0.215814761622339	0.165055032607099	0.273067277612429	0.301443018802232	0.0446199093559009	0	0.750278820513501	0.661146117182031
X331_120501_4	0.463522843904245	0.257671835350218	0.150921318602974	0.0344510013196549	0.0934330008229084	0	0.551691543585116	0.833117672248159
X644_120524_4	0.253441971729601	0.209521617589996	0.239196705850818	0.21317451825537	0.0846651865742145	0	0.739064325598647	0.681161722505585
